LongStationName,ShortStationName,StationNumber,SampleCode,CollectionDate,Analyte,CASReg_Number,Result,RptLimit,Units,Method,Depth,Matrix,SampleType,ParentSample,Description,Notes
Rominger Bridge at Colusa Basin Drain,RMB - Rominger,A0C85051515,ES0821B0116,08/02/2021 08:13,Dissolved Ammonia,7664417,0.076,0.05,mg/L as N,EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Rominger Bridge at Colusa Basin Drain,RMB - Rominger,A0C85051515,ES0821B0116,08/02/2021 08:13,Dissolved Calcium,7440702,51.5,1,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,Matrix Spike
Rominger Bridge at Colusa Basin Drain,RMB - Rominger,A0C85051515,ES0821B0116,08/02/2021 08:13,Dissolved Chloride,16887006,60.1,30,mg/L,EPA 300.0 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Rominger Bridge at Colusa Basin Drain,RMB - Rominger,A0C85051515,ES0821B0116,08/02/2021 08:13,Chlorophyll a,479618,59.3,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Rominger Bridge at Colusa Basin Drain,RMB - Rominger,A0C85051515,ES0821B0116,08/02/2021 08:13,Dissolved Nitrate + Nitrite,0,<0.05,0.05,mg/L as N,Std Method 4500-NO3-F [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Rominger Bridge at Colusa Basin Drain,RMB - Rominger,A0C85051515,ES0821B0116,08/02/2021 08:13,Dissolved Organic Carbon,7440440,6.2,0.50,mg/L as C,EPA 415.3 (D) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
Rominger Bridge at Colusa Basin Drain,RMB - Rominger,A0C85051515,ES0821B0116,08/02/2021 08:13,Total Organic Carbon,7440440,6.4,0.50,mg/L as C,EPA 415.3 (T) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
Rominger Bridge at Colusa Basin Drain,RMB - Rominger,A0C85051515,ES0821B0116,08/02/2021 08:13,Dissolved Organic Nitrogen,7727379,0.41,0.10,mg/L as N,EPA 351.2/EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Rominger Bridge at Colusa Basin Drain,RMB - Rominger,A0C85051515,ES0821B0116,08/02/2021 08:13,Dissolved ortho-Phosphate,14265442,0.905,0.05,mg/L as P,EPA 365.1 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Rominger Bridge at Colusa Basin Drain,RMB - Rominger,A0C85051515,ES0821B0116,08/02/2021 08:13,Pheophytin a,0,26.9,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Rominger Bridge at Colusa Basin Drain,RMB - Rominger,A0C85051515,ES0821B0116,08/02/2021 08:13,Total Phosphorus,7723140,0.984,0.05,mg/L as P,EPA 365.4 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Rominger Bridge at Colusa Basin Drain,RMB - Rominger,A0C85051515,ES0821B0116,08/02/2021 08:13,Dissolved Silica (SiO2),7631869,25.8,0.10,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,Matrix Spike
Rominger Bridge at Colusa Basin Drain,RMB - Rominger,A0C85051515,ES0821B0116,08/02/2021 08:13,Total Dissolved Solids,0,913,2.50,mg/L,Std Method 2540 C [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Rominger Bridge at Colusa Basin Drain,RMB - Rominger,A0C85051515,ES0821B0116,08/02/2021 08:13,Total Suspended Solids,0,293.3,2.50,mg/L,EPA 160.2 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Rominger Bridge at Colusa Basin Drain,RMB - Rominger,A0C85051515,ES0821B0116,08/02/2021 08:13,Volatile Suspended Solids,0,46.7,2.50,mg/L,EPA 160.4 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Rominger Bridge at Colusa Basin Drain,RMB - Rominger,A0C85051515,ES0821B0116,08/02/2021 08:13,Total Kjeldahl Nitrogen,0,1.89,0.10,mg/L as N,EPA 351.2 [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Rominger Bridge at Colusa Basin Drain,RMB - Rominger,A0C85051515,ES0821B0116,08/02/2021 08:13,Field Specific Conductance,0, 1492,1,uS/cm@25 °C,EPA 120.1 (Field) [1]*,1 uS/cm@25 °C,"Water, Natural",Normal Sample,0,,
Rominger Bridge at Colusa Basin Drain,RMB - Rominger,A0C85051515,ES0821B0116,08/02/2021 08:13,Field Water Temperature,0, 24.5,0.10,°C,EPA 170.1 (Field) [1]*,1 °C,"Water, Natural",Normal Sample,0,,
Rominger Bridge at Colusa Basin Drain,RMB - Rominger,A0C85051515,ES0821B0134,08/16/2021 10:21,Dissolved Ammonia,7664417,<0.05,0.05,mg/L as N,EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
