Cruise,Date,Time,Station,Secchi,DEP,k,TEM,SAL,Cond,pH,DO,silica,nitrate_nitrite,nitrite,orthophosphate,ammonia,CHL_a,ammonia_conversion_mg_L,0.5875
YBS21-5,9/27/2021,,I80-TD,,,,,,,,,453.48,0.01,0.07,14.74,1.53,4.3,0.02142,
YBS21-5,9/27/2021,,LIS,,,,,,,,,216.77,2.36,0.14,2.39,1.56,11.5,0.02184,
YBS21-5,9/28/2021,,STTD,,,,,,,,,196.45,0.49,0.06,2.54,1.06,2.19,0.01484,
YBS21-5,9/28/2021,,BL5,,,,,,,,,235.46,2.87,0.11,2.18,1.82,1.99,0.02548,
YBS21-5,9/28/2021,,PRS,,,,,,,,,242.39,3.1,0.11,2.29,1.55,2.04,0.0217,
YBS21-5,9/28/2021,,LIB,,,,,,,,,247.56,4.18,0.12,2.13,1.09,2.04,0.01526,
YBS21-5,9/28/2021,,RYI,,,,,,,,,266.14,6.52,0.12,1.84,1.05,1.67,0.0147,
YBS21-5,9/28/2021,,RVB,,,,,,,,,260.63,6.72,0.13,1.93,1.09,2.25,0.01526,
YBS21-5,9/27/2021,,WWT,,,,,,,,,412.68,274.53,3.49,72.54,2.37,,0.03318,
YBS21-5,9/27/2021,,DWT,,,,,,,,,376.28,754.7,5.67,119.14,9.51,,0.13314,
YBS21-5,9/28/2021,,SHR,,,,,,,,,267.67,0.62,0.07,1.02,0.78,,0.01092,
YBS21-6,10/11/2021,,RMB,,,,,,,,,344.66,0.1,0.04,3.64,1.1,54.35,0.0154,
YBS21-6,10/11/2021,,RD22,,,,,,,,,380.42,202.97,1.66,49.26,3.02,8.36,0.04228,
YBS21-6,10/11/2021,,I80-TD,,,,,,,,,245.54,0.05,0.04,2.54,0.8,3.31,0.0112,
YBS21-6,10/11/2021,,LIS,,,,,,,,,190.37,1.85,0.09,2.7,1.27,4.3,0.01778,
YBS21-6,10/13/2021,,STTD,,,,,,,,,203.62,0.94,0.06,1.91,0.99,2.65,0.01386,
YBS21-6,10/13/2021,,BL5,,,,,,,,,235.91,3.96,0.12,1.65,1.45,3.8,0.0203,
YBS21-6,10/13/2021,,PRS,,,,,,,,,242.23,4.56,0.12,1.58,1.16,3.97,0.01624,
YBS21-6,10/13/2021,,LIB,,,,,,,,,242.46,4.91,0.11,1.56,1.14,2.65,0.01596,
YBS21-6,10/13/2021,,RYI,,,,,,,,,254.72,6.8,0.1,1.48,1.43,3.47,0.02002,
YBS21-6,10/13/2021,,RVB,,,,,,,,,253.11,6.99,0.11,1.54,1.09,2.4,0.01526,
YBS21-6,10/11/2021,,RVB_T0,,,,,,,,,237.81,7.79,0.26,1.94,1.64,4.3,0.02296,
YBS21-6,10/11/2021,,WWT,,,,,,,,,336.24,292.95,1.26,88.23,1.17,,0.01638,
YBS21-6,10/12/2021,,SHR,,,,,,,,,290.26,1.21,0.05,0.98,0.48,,0.00672,
