LongStationName,ShortStationName,StationNumber,SampleCode,CollectionDate,Analyte,CASReg_Number,Result,RptLimit,Units,Method,Depth,Matrix,SampleType,ParentSample,Description,Notes
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0123,08/03/2021 09:31,Dissolved Ammonia,7664417,<0.05,0.05,mg/L as N,EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0123,08/03/2021 09:31,Dissolved Calcium,7440702,12.2,1,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0123,08/03/2021 09:31,Dissolved Chloride,16887006,21.3,3,mg/L,EPA 300.0 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0123,08/03/2021 09:31,Chlorophyll a,479618,0.9,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0123,08/03/2021 09:31,Dissolved Nitrate + Nitrite,0,<0.05,0.05,mg/L as N,Std Method 4500-NO3-F [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0123,08/03/2021 09:31,Dissolved Organic Carbon,7440440,3.1,0.50,mg/L as C,EPA 415.3 (D) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0123,08/03/2021 09:31,Total Organic Carbon,7440440,2.9,0.50,mg/L as C,EPA 415.3 (T) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0123,08/03/2021 09:31,Dissolved Organic Nitrogen,7727379,0.24,0.10,mg/L as N,EPA 351.2/EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0123,08/03/2021 09:31,Dissolved ortho-Phosphate,14265442,0.091,0.05,mg/L as P,EPA 365.1 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0123,08/03/2021 09:31,Pheophytin a,0,0.63,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0123,08/03/2021 09:31,Total Phosphorus,7723140,0.101,0.01,mg/L as P,EPA 365.4 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0123,08/03/2021 09:31,Dissolved Silica (SiO2),7631869,10.9,0.10,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0123,08/03/2021 09:31,Total Dissolved Solids,0,129,2.50,mg/L,Std Method 2540 C [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0123,08/03/2021 09:31,Total Suspended Solids,0,6.2,2.50,mg/L,EPA 160.2 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0123,08/03/2021 09:31,Volatile Suspended Solids,0,<2.5,2.50,mg/L,EPA 160.4 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0123,08/03/2021 09:31,Total Kjeldahl Nitrogen,0,0.297,0.10,mg/L as N,EPA 351.2 [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0123,08/03/2021 09:31,Field Specific Conductance,0, 239,1,uS/cm@25 °C,EPA 120.1 (Field) [1]*,1 uS/cm@25 °C,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0123,08/03/2021 09:31,Field Water Temperature,0, 20.7,0.10,°C,EPA 170.1 (Field) [1]*,1 °C,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0141,08/17/2021 10:09,Dissolved Ammonia,7664417,<0.05,0.05,mg/L as N,EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0821B0141,08/17/2021 10:09,Dissolved Calcium,7440702,12.1,1,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
